Category;Sub_Category;Total_Sales;Total_Profit
Technology;Phones;329753.0880000001;44447.879100000006
Furniture;Chairs;328449.10300000076;26590.166300000026
"Office Supplies";Storage;216803.21200000012;21527.908299999996
Furniture;Tables;206965.5320000001;-17725.481100000008
"Office Supplies";Binders;199905.71700000006;29983.021299999986
Technology;Machines;189238.63099999996;3384.7569
Technology;Accessories;167380.3180000001;41936.63569999993
Technology;Copiers;149528.02999999994;55617.82490000001
Furniture;Bookcases;114879.99629999997;-3472.5559999999978
"Office Supplies";Appliances;107532.161;18138.005399999995
Furniture;Furnishings;82752.23000000004;11588.641999999987
"Office Supplies";Paper;75356.11799999999;32712.168999999965
"Office Supplies";Supplies;45952.47000000001;-1348.5654999999986
"Office Supplies";Art;27118.791999999954;6527.786999999998
"Office Supplies";Envelopes;15339.489999999993;6460.8691000000035
"Office Supplies";Labels;12486.312;5546.253999999998
"Office Supplies";Fasteners;3008.6559999999995;942.4377999999997
